country,year,pop,continent,gdpPercap,lifeExp
00000103343,2019-12,18600000,cz,79,1.072479
00000104291,2019-03,3100000,cz,31,0.460693
00000104291,2019-05,5400000,cz,23,0.886408
00000104291,2019-06,6600000,cz,12,1.10202
00000104291,2019-07,8900000,cz,23,1.12232
00000104291,2019-09,11400000,cz,25,1.329446
00000104291,2019-11,14900000,cz,35,1.238056
00000104291,2019-12,20500000,cz,56,1.182033
00000105064,2019-04,300000,cz,3,0.041771
00000105064,2019-05,500000,cz,2,0.082075
00000105064,2019-08,900000,cz,4,0.156331
00000105064,2020-02,1000000,cz,1,0.141064
00000105323,2019-03,900000,cz,9,0.133749
00000105323,2019-04,2200000,cz,13,0.306321
00000105323,2019-05,3800000,cz,16,0.623769
00000105323,2019-07,5700000,cz,19,0.718789
00000105323,2019-08,6100000,cz,4,1.05958
00000110640,2019-03,12200000,cz,122,1.813048
00000110640,2019-04,20600000,cz,84,2.868282
00000110640,2019-06,25700000,cz,51,4.291201
00000110640,2019-07,32900000,cz,72,4.148802
00000110640,2019-09,42600000,cz,97,4.96793
00000110640,2019-10,52400000,cz,98,5.786858
00000110640,2019-11,63900000,cz,115,5.309514
00000110640,2019-12,81800000,cz,179,4.7166
00000110640,2020-02,93700000,cz,119,13.217661
00000111994,2019-05,19700000,cz,197,3.233749
00000111994,2019-06,36100000,cz,164,6.027717
00000111994,2019-09,63000000,cz,269,7.346939
00000111994,2019-11,86000000,cz,230,7.145825
00000116595,2019-04,1000000,cz,10,0.139237
00000116595,2019-09,2900000,cz,19,0.338192
00000116595,2019-11,4000000,cz,11,0.332364
00000116595,2020-01,5400000,cz,14,0.553506
00000116595,2020-02,6800000,cz,14,0.959233
00000116699,2019-06,300000,cz,3,0.050092
00000116699,2019-07,900000,cz,6,0.113493
00000118523,2019-08,400000,cz,4,0.069481
00000118523,2019-09,1500000,cz,11,0.174927
00000118523,2020-01,1900000,cz,4,0.194752
00000118523,2020-02,2000000,cz,1,0.282127
00000120842,2019-03,12300000,cz,123,1.827909
00000120842,2019-04,24500000,cz,122,3.411306
00000120842,2019-06,35200000,cz,107,5.877442
00000120842,2019-07,48500000,cz,133,6.116015
00000120842,2019-12,72000000,cz,235,4.151531
00000120842,2020-01,94000000,cz,220,9.635096
00000120842,2020-02,106800000,cz,128,15.065595
00000121766,2019-03,600000,cz,6,0.089166
00000121766,2019-06,1000000,cz,4,0.166973
00000121766,2019-09,2100000,cz,11,0.244898
00000121766,2019-10,3300000,cz,12,0.36444
00000121766,2020-01,3700000,cz,4,0.379254
00000121766,2020-02,4400000,cz,7,0.62068
00000122822,2019-05,1200000,cz,12,0.19698
00000122822,2019-08,2600000,cz,14,0.451624
00000122822,2019-10,3700000,cz,11,0.408614
00000122822,2019-11,4100000,cz,4,0.340673
00000124656,2019-03,1100000,cz,11,0.163472
00000124656,2019-04,2000000,cz,9,0.278474
00000124656,2019-05,3100000,cz,11,0.508864
00000124656,2019-06,3800000,cz,7,0.634497
00000124656,2019-07,4600000,cz,8,0.580076
00000124656,2019-09,6200000,cz,16,0.723032
00000124656,2019-10,7300000,cz,11,0.806184
00000124656,2019-12,8900000,cz,16,0.513175
00000124656,2020-01,16000000,cz,71,1.640016
00000128621,2019-03,9600000,cz,96,1.426661
00000128621,2019-07,19700000,cz,101,2.484237
00000128621,2019-08,31600000,cz,119,5.48897
00000128621,2019-11,43900000,cz,123,3.647694
00000128697,2019-05,20700000,cz,207,3.397899
00000128697,2019-06,38600000,cz,179,6.445149
00000128697,2019-08,72400000,cz,338,12.575994
00000128697,2019-09,112800000,cz,404,13.154519
00000128697,2019-11,146700000,cz,339,12.189447
00000128697,2020-02,171000000,cz,243,24.121879
00000129456,2019-03,10700000,cz,107,1.590132
00000129456,2019-06,17100000,cz,64,2.855235
00000129456,2019-08,27300000,cz,102,4.742053
00000129456,2019-11,41800000,cz,145,3.473203
00000129456,2020-01,49600000,cz,78,5.084051
00000129456,2020-02,62400000,cz,128,8.80237
00000129461,2019-06,3300000,cz,33,0.55101
00000129461,2019-07,6700000,cz,34,0.844893
00000129461,2019-08,10900000,cz,42,1.893347
00000129461,2020-01,17400000,cz,65,1.783518
00000129461,2020-02,24000000,cz,66,3.385527
00000130129,2019-03,34600000,cz,346,5.141923
00000130129,2019-04,65200000,cz,306,9.078251
00000130129,2019-06,87300000,cz,221,14.576724
00000130129,2019-07,123600000,cz,363,15.586381
00000130129,2019-09,168400000,cz,448,19.638484
00000130129,2020-01,214700000,cz,463,22.00697
00000130129,2020-02,244600000,cz,299,34.504161
00000130167,2019-03,9100000,cz,91,1.352355
00000130167,2019-04,20200000,cz,111,2.812587
00000130167,2019-05,28800000,cz,86,4.727511
00000130167,2019-06,36200000,cz,74,6.044415
00000130167,2019-08,46900000,cz,107,8.146604
00000130167,2019-10,62000000,cz,151,6.847046
00000130167,2019-12,103400000,cz,414,5.96206
00000132798,2019-07,14300000,cz,143,1.803279
00000132798,2019-08,26000000,cz,117,4.516241
00000132798,2019-10,38000000,cz,120,4.196576
00000132798,2019-12,64300000,cz,263,3.707548
00000132798,2020-01,78600000,cz,143,8.056581
00000132798,2020-02,88700000,cz,101,12.512343
00000135419,2019-03,600000,cz,6,0.089166
00000135419,2019-06,1300000,cz,7,0.217065
00000135419,2019-10,2100000,cz,8,0.231916
00000135419,2019-11,2800000,cz,7,0.232655
00000135419,2019-12,4000000,cz,12,0.230641
00000135419,2020-01,5500000,cz,15,0.563756
00000135612,2019-03,600000,cz,6,0.089166
00000135612,2019-04,1300000,cz,7,0.181008
00000135612,2019-05,2000000,cz,7,0.328299
00000135612,2019-06,2300000,cz,3,0.384037
00000135612,2019-07,2700000,cz,4,0.340479
00000135612,2019-09,3400000,cz,7,0.396501
00000135612,2019-10,4400000,cz,10,0.485919
00000135612,2019-11,5200000,cz,8,0.432073
00000135612,2019-12,6200000,cz,10,0.357493
00000137574,2019-03,8400000,cz,84,1.248328
00000137574,2019-04,13300000,cz,49,1.851852
00000137574,2019-05,20500000,cz,72,3.365069
00000137574,2019-06,27500000,cz,70,4.591752
00000137574,2019-08,27700000,cz,2,4.811534
00000138432,2019-04,16900000,cz,169,2.353105
00000138432,2019-06,26400000,cz,95,4.408081
00000138432,2019-08,39100000,cz,127,6.791732
00000138432,2019-11,48200000,cz,91,4.004985
00000138762,2019-03,600000,cz,6,0.089166
00000141401,2019-04,41800000,cz,418,5.820106
00000141401,2019-05,79900000,cz,381,13.115561
00000141401,2019-08,131500000,cz,516,22.841758
00000141401,2019-09,192600000,cz,611,22.460641
00000141401,2019-11,275000000,cz,824,22.850021
00000141401,2019-12,386200000,cz,1112,22.26835
00000141401,2020-01,441100000,cz,549,45.213202
00000141689,2019-03,900000,cz,9,0.133749
00000141689,2019-04,1900000,cz,10,0.26455
00000141689,2019-05,2600000,cz,7,0.426789
00000141689,2019-08,3500000,cz,9,0.607956
00000141689,2019-10,4600000,cz,11,0.508007
00000141689,2019-11,5900000,cz,13,0.490237
00000146776,2019-04,2000000,cz,20,0.278474
00000146776,2019-10,5000000,cz,30,0.552181
00000146776,2019-11,9000000,cz,40,0.747819
00000146776,2020-01,13200000,cz,42,1.353014
00000146776,2020-02,16400000,cz,32,2.313443
00000149459,2019-04,29400000,cz,294,4.093567
00000149459,2019-05,55000000,cz,256,9.028234
00000149459,2019-07,77700000,cz,227,9.798235
00000149459,2019-10,99000000,cz,213,10.933186
00000149459,2019-12,130600000,cz,316,7.530416
00000149459,2020-01,150200000,cz,196,15.395654
00000149497,2019-03,800000,cz,8,0.118888
00000149497,2019-05,1000000,cz,2,0.16415
00000149505,2019-03,400000,cz,4,0.059444
00000149505,2019-04,600000,cz,2,0.083542
00000149505,2019-07,1600000,cz,10,0.201765
00000149831,2019-04,22400000,cz,224,3.118908
00000149831,2019-06,36800000,cz,144,6.144598
00000149831,2019-08,66600000,cz,298,11.568525
00000149831,2019-11,109200000,cz,426,9.073536
00000149831,2020-01,140300000,cz,311,14.380894
00000149831,2020-02,167600000,cz,273,23.642263
00000150909,2019-03,7400000,cz,74,1.099718
00000150909,2019-05,12100000,cz,47,1.986211
00000150909,2019-06,16200000,cz,41,2.704959
00000150909,2019-12,26700000,cz,105,1.539526
00000150909,2020-01,36000000,cz,93,3.690037
00000152159,2019-03,10100000,cz,101,1.500966
00000152159,2019-07,25700000,cz,156,3.240858
00000152159,2019-08,40300000,cz,146,7.000174
00000152159,2019-09,59700000,cz,194,6.962099
00000152159,2019-11,76900000,cz,172,6.389697
00000152159,2019-12,99300000,cz,224,5.725653
00000152164,2019-03,17500000,cz,175,2.600684
00000152164,2019-05,28500000,cz,110,4.678267
00000152164,2019-07,40100000,cz,116,5.056747
00000152164,2019-08,54800000,cz,147,9.518847
00000152164,2019-10,68800000,cz,140,7.598012
00000152164,2019-12,94200000,cz,254,5.431586
00000152164,2020-02,124800000,cz,306,17.60474
00000152282,2019-05,4300000,cz,43,0.705844
00000152282,2019-09,7100000,cz,28,0.827988
00000152282,2019-10,11000000,cz,39,1.214798
00000152282,2019-11,14500000,cz,35,1.204819
00000154200,2019-04,3800000,cz,38,0.529101
00000154200,2019-05,5400000,cz,16,0.886408
00000154200,2019-06,6900000,cz,15,1.152112
00000154200,2019-10,9500000,cz,26,1.049144
